Date,AAPL,AMZN,BAC,CVX,DIS,GE,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,ORCL,PFE,PG,WMT,XOM
2016-12-31,-0.16666666666666666,0.08333333333333333,0.0,0.25,-0.25,-0.08333333333333333,-0.16666666666666666,0.16666666666666666,-0.08333333333333333,0.16666666666666666,0.0,-0.08333333333333333,-0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,-0.08333333333333333,0.0,0.16666666666666666,0.0
2017-01-31,-0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.25,0.0,0.08333333333333333,0.08333333333333333,-0.16666666666666666,-0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.25,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,-0.16666666666666666,-0.25,0.0,0.0,0.0,0.0,-0.08333333333333333,-0.08333333333333333,0.0
2017-03-31,0.0,0.25,0.25,0.08333333333333333,-0.08333333333333333,-0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.25,-0.25,-0.25,0.0,0.08333333333333333,0.0,0.0,-0.08333333333333333,-0.16666666666666666,0.0
2017-04-30,0.08333333333333333,0.16666666666666666,0.25,0.08333333333333333,-0.08333333333333333,-0.16666666666666666,0.0,0.0,0.0,0.0,0.25,-0.25,-0.16666666666666666,0.0,0.16666666666666666,0.0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333
2017-05-31,0.16666666666666666,0.16666666666666666,0.25,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.16666666666666666,-0.25,-0.08333333333333333,0.0,0.25,0.0,-0.16666666666666666,0.0,-0.08333333333333333,-0.16666666666666666
2017-06-30,0.25,0.08333333333333333,0.25,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.16666666666666666,-0.25,0.0,0.0,0.25,0.0,-0.16666666666666666,0.0,-0.08333333333333333,-0.25
2017-07-31,0.25,0.16666666666666666,0.25,0.0,0.0,-0.25,0.0,-0.08333333333333333,0.0,0.0,0.08333333333333333,-0.16666666666666666,0.0,0.0,0.25,0.0,-0.16666666666666666,0.0,-0.08333333333333333,-0.25
2017-08-31,0.25,0.08333333333333333,0.25,0.0,0.0,-0.25,0.0,-0.16666666666666666,-0.08333333333333333,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.0,-0.08333333333333333,0.0,-0.08333333333333333,-0.25
2017-09-30,0.16666666666666666,0.08333333333333333,0.25,0.0,0.0,-0.25,0.08333333333333333,-0.25,-0.08333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,-0.08333333333333333,-0.08333333333333333,0.0,-0.25
2017-10-31,0.16666666666666666,0.08333333333333333,0.25,0.0,0.0,-0.25,0.08333333333333333,-0.25,-0.08333333333333333,0.0,0.16666666666666666,0.0,0.25,-0.08333333333333333,0.0,0.0,0.0,-0.08333333333333333,0.0,-0.25
2017-11-30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.25,0.16666666666666666,-0.25,0.0,0.0,0.08333333333333333,0.0,0.25,-0.16666666666666666,0.0,0.0,0.0,-0.08333333333333333,0.0,-0.25
2017-12-31,0.25,0.25,0.08333333333333333,0.0,-0.08333333333333333,-0.25,0.08333333333333333,-0.25,0.0,0.0,0.0,0.0,0.25,-0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,-0.25
2018-01-31,0.16666666666666666,0.25,0.0,0.0,-0.16666666666666666,-0.25,0.08333333333333333,-0.25,0.0,0.0,0.0,0.0,0.25,-0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,-0.16666666666666666
2018-02-28,0.16666666666666666,0.25,0.0,0.0,-0.16666666666666666,-0.25,0.0,-0.25,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.25,0.0,0.0,0.0,0.08333333333333333,-0.16666666666666666
2018-03-31,0.08333333333333333,0.25,0.0,0.0,-0.16666666666666666,-0.25,0.0,-0.25,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,-0.25,0.25,0.0,0.0,0.0,0.16666666666666666,-0.08333333333333333
2018-04-30,0.08333333333333333,0.25,0.08333333333333333,0.0,-0.16666666666666666,-0.25,0.0,-0.25,0.25,0.0,0.0,0.0,0.0,-0.16666666666666666,0.25,0.0,0.0,-0.08333333333333333,0.08333333333333333,-0.08333333333333333
2018-05-31,0.0,0.25,0.08333333333333333,0.0,-0.25,-0.25,0.0,-0.16666666666666666,0.25,0.0,0.08333333333333333,0.0,0.0,-0.16666666666666666,0.25,0.0,0.0,-0.16666666666666666,0.08333333333333333,0.0
2018-06-30,0.0,0.25,0.08333333333333333,0.0,-0.16666666666666666,-0.25,0.08333333333333333,-0.16666666666666666,0.25,0.0,0.08333333333333333,0.0,0.0,-0.08333333333333333,0.25,-0.08333333333333333,0.0,-0.25,0.0,0.0
2018-07-31,0.0,0.25,0.08333333333333333,0.0,-0.16666666666666666,-0.25,0.08333333333333333,-0.08333333333333333,0.25,-0.08333333333333333,0.08333333333333333,0.0,0.0,-0.08333333333333333,0.25,-0.08333333333333333,0.0,-0.25,0.0,0.0
2018-08-31,0.08333333333333333,0.25,0.08333333333333333,0.0,-0.08333333333333333,-0.25,0.08333333333333333,-0.08333333333333333,0.25,-0.08333333333333333,0.0,-0.08333333333333333,0.0,0.0,0.25,-0.16666666666666666,0.0,-0.25,0.0,0.0
2018-09-30,0.08333333333333333,0.25,0.08333333333333333,0.0,-0.08333333333333333,-0.25,0.08333333333333333,0.0,0.25,-0.08333333333333333,0.0,-0.08333333333333333,-0.08333333333333333,0.0,0.25,-0.16666666666666666,0.0,-0.25,0.0,0.0
2018-10-31,0.16666666666666666,0.25,0.0,0.0,0.0,-0.25,0.08333333333333333,-0.08333333333333333,0.16666666666666666,0.0,0.0,-0.08333333333333333,-0.08333333333333333,0.08333333333333333,0.25,-0.25,0.0,-0.16666666666666666,0.0,-0.08333333333333333
2018-11-30,0.08333333333333333,0.25,0.0,0.0,0.0,-0.25,0.08333333333333333,-0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,-0.08333333333333333,0.16666666666666666,0.25,-0.16666666666666666,0.08333333333333333,-0.16666666666666666,-0.08333333333333333,-0.16666666666666666
2018-12-31,0.16666666666666666,0.25,-0.08333333333333333,-0.08333333333333333,0.0,-0.25,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.25,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,-0.08333333333333333,-0.16666666666666666
2019-01-31,0.08333333333333333,0.25,-0.08333333333333333,-0.08333333333333333,0.0,-0.25,-0.08333333333333333,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.16666666666666666,-0.08333333333333333,-0.16666666666666666,-0.08333333333333333
2019-02-28,0.08333333333333333,0.16666666666666666,-0.16666666666666666,-0.08333333333333333,0.0,-0.25,-0.08333333333333333,-0.25,0.0,0.0,-0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.0
2019-03-31,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,-0.25,-0.08333333333333333,-0.25,-0.08333333333333333,0.0,-0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.08333333333333333,0.0
2019-04-30,0.0,0.08333333333333333,-0.16666666666666666,-0.08333333333333333,0.08333333333333333,-0.25,0.0,-0.25,-0.16666666666666666,0.0,-0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666,0.0,0.08333333333333333,0.25,0.0,0.0
2019-05-31,0.0,0.08333333333333333,-0.16666666666666666,-0.08333333333333333,0.08333333333333333,-0.25,0.0,-0.16666666666666666,-0.25,0.0,-0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666,0.0,0.08333333333333333,0.25,0.0,0.0
2019-06-30,0.0,0.0,-0.08333333333333333,-0.16666666666666666,0.08333333333333333,-0.25,0.0,-0.16666666666666666,-0.16666666666666666,0.0,-0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,0.0,-0.08333333333333333
2019-07-31,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.08333333333333333,-0.25,0.0,-0.08333333333333333,-0.08333333333333333,0.0,-0.08333333333333333,0.0,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.0,-0.16666666666666666
2019-08-31,-0.08333333333333333,-0.08333333333333333,-0.16666666666666666,-0.16666666666666666,0.08333333333333333,-0.25,0.0,-0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.0,0.25,0.0,-0.16666666666666666
2019-09-30,-0.08333333333333333,-0.16666666666666666,-0.16666666666666666,-0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.0,0.0,0.0,-0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.0,-0.08333333333333333,0.25,0.08333333333333333,-0.16666666666666666
2019-10-31,-0.08333333333333333,-0.16666666666666666,-0.08333333333333333,0.0,0.0,-0.16666666666666666,0.08333333333333333,0.0,0.0,-0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,-0.16666666666666666,0.25,0.08333333333333333,-0.16666666666666666
2019-11-30,0.08333333333333333,-0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,-0.25,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.0,-0.25,0.16666666666666666,0.08333333333333333,-0.25
2019-12-31,0.16666666666666666,-0.08333333333333333,0.0,-0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,-0.25,0.08333333333333333,0.0,0.0,0.08333333333333333,0.25,0.0,-0.25,0.16666666666666666,0.0,-0.25
2020-01-31,0.25,-0.08333333333333333,0.0,-0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,-0.25,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,-0.25,0.08333333333333333,0.0,-0.25
2020-02-29,0.25,0.0,0.0,-0.25,0.08333333333333333,0.0,0.0,-0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,-0.25,0.16666666666666666,0.0,-0.25
2020-03-31,0.25,0.0,0.0,-0.25,0.08333333333333333,0.0,0.0,-0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,-0.25,0.16666666666666666,0.08333333333333333,-0.25
2020-04-30,0.25,0.08333333333333333,0.0,-0.16666666666666666,-0.08333333333333333,-0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,-0.08333333333333333,-0.16666666666666666,0.16666666666666666,0.08333333333333333,-0.25
2020-05-31,0.25,0.08333333333333333,0.0,-0.16666666666666666,-0.16666666666666666,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,-0.08333333333333333,-0.16666666666666666,0.08333333333333333,0.16666666666666666,-0.25
2020-06-30,0.25,0.16666666666666666,0.0,-0.16666666666666666,-0.25,-0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,-0.08333333333333333,-0.08333333333333333,0.0,0.08333333333333333,-0.25
2020-07-31,0.25,0.16666666666666666,-0.08333333333333333,-0.25,-0.16666666666666666,-0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.08333333333333333,0.0,0.08333333333333333,-0.25
2020-08-31,0.25,0.25,-0.08333333333333333,-0.25,-0.08333333333333333,-0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,-0.08333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.25
2020-09-30,0.25,0.25,-0.08333333333333333,-0.25,0.0,-0.25,0.16666666666666666,0.0,0.08333333333333333,0.0,-0.08333333333333333,-0.08333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.25
2020-10-31,0.25,0.25,0.0,-0.25,0.0,-0.25,0.08333333333333333,0.0,0.0,0.0,-0.08333333333333333,-0.08333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.08333333333333333,-0.25
2020-11-30,0.25,0.25,-0.08333333333333333,-0.25,0.0,-0.25,0.16666666666666666,0.0,-0.08333333333333333,0.0,-0.08333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08333333333333333,-0.25
2020-12-31,0.25,0.25,-0.16666666666666666,-0.25,0.0,-0.25,0.08333333333333333,0.0,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.0,0.0,0.08333333333333333,-0.25
2021-01-31,0.25,0.25,-0.16666666666666666,-0.16666666666666666,0.0,-0.25,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0,-0.08333333333333333,0.0,0.0,0.25,0.08333333333333333,0.0,0.0,0.08333333333333333,-0.25
2021-02-28,0.25,0.25,-0.08333333333333333,-0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.0,-0.16666666666666666,-0.08333333333333333,0.0,0.0,-0.08333333333333333,0.0,-0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,-0.25
2021-03-31,0.25,0.25,0.0,0.0,0.16666666666666666,-0.08333333333333333,0.08333333333333333,-0.25,-0.16666666666666666,0.0,0.0,-0.16666666666666666,0.0,-0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,-0.16666666666666666
2021-04-30,0.25,0.16666666666666666,0.0,0.0,0.25,0.08333333333333333,0.08333333333333333,-0.16666666666666666,-0.25,0.0,0.08333333333333333,-0.08333333333333333,0.0,-0.25,0.0,0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.0,-0.08333333333333333
2021-05-31,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.25,0.16666666666666666,0.08333333333333333,-0.08333333333333333,-0.25,0.0,0.16666666666666666,-0.08333333333333333,0.0,-0.25,0.0,0.0,-0.16666666666666666,-0.08333333333333333,-0.08333333333333333,0.0
2021-06-30,0.08333333333333333,0.0,0.16666666666666666,0.0,0.25,0.25,0.0,0.0,-0.25,-0.08333333333333333,0.25,0.0,0.0,-0.25,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-0.08333333333333333,0.0
2021-07-31,0.0,-0.08333333333333333,0.25,0.0,0.16666666666666666,0.25,0.0,0.0,-0.16666666666666666,-0.08333333333333333,0.25,0.0,0.0,-0.25,0.0,0.08333333333333333,-0.08333333333333333,-0.16666666666666666,-0.16666666666666666,0.0
2021-08-31,0.0,-0.16666666666666666,0.25,0.0,0.08333333333333333,0.25,0.0,0.0,-0.08333333333333333,-0.08333333333333333,0.25,0.0,0.0,-0.25,0.0,0.08333333333333333,0.0,-0.25,-0.16666666666666666,0.08333333333333333
2021-09-30,0.0,-0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.25,0.0,0.08333333333333333,0.0,-0.25,-0.25,0.16666666666666666
2021-10-31,0.0,-0.16666666666666666,0.25,0.0,0.0,0.25,0.0,0.0,-0.08333333333333333,0.0,0.16666666666666666,0.0,-0.08333333333333333,-0.16666666666666666,0.0,0.08333333333333333,0.0,-0.25,-0.25,0.25
2021-11-30,0.0,-0.08333333333333333,0.25,0.0,-0.08333333333333333,0.16666666666666666,0.0,0.0,-0.08333333333333333,0.0,0.08333333333333333,-0.08333333333333333,-0.08333333333333333,-0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,-0.16666666666666666,-0.25,0.25
2021-12-31,0.0,-0.08333333333333333,0.25,0.0,-0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,-0.16666666666666666,0.0,0.0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,-0.08333333333333333,-0.25,0.25
2022-01-31,0.0,-0.16666666666666666,0.25,0.08333333333333333,-0.25,0.0,0.08333333333333333,0.0,-0.16666666666666666,0.0,0.0,-0.08333333333333333,0.0,-0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,-0.25,0.25
2022-02-28,0.08333333333333333,-0.16666666666666666,0.16666666666666666,0.08333333333333333,-0.25,-0.08333333333333333,0.16666666666666666,0.0,-0.25,0.0,-0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,-0.16666666666666666,0.16666666666666666
2022-03-31,0.16666666666666666,-0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.25,-0.16666666666666666,0.08333333333333333,0.0,-0.25,0.0,-0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,-0.08333333333333333,0.16666666666666666
2022-04-30,0.16666666666666666,-0.08333333333333333,0.0,0.16666666666666666,-0.25,-0.25,0.08333333333333333,0.0,-0.25,0.0,-0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666
2022-05-31,0.16666666666666666,-0.08333333333333333,0.0,0.25,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.25
2022-06-30,0.08333333333333333,-0.16666666666666666,0.0,0.25,-0.25,-0.25,0.0,0.0,-0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.25
2022-07-31,0.16666666666666666,-0.08333333333333333,0.0,0.25,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,-0.08333333333333333,0.25
2022-08-31,0.08333333333333333,-0.16666666666666666,0.0,0.25,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.25
2022-09-30,0.08333333333333333,-0.08333333333333333,0.0,0.25,-0.25,-0.25,0.0,0.0,-0.25,0.0,-0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.25
2022-10-31,0.0,-0.16666666666666666,0.0,0.25,-0.25,-0.16666666666666666,0.0,0.08333333333333333,-0.25,0.0,-0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.25
2022-11-30,0.0,-0.16666666666666666,0.0,0.25,-0.25,-0.16666666666666666,0.0,0.08333333333333333,-0.25,0.0,-0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.25
2022-12-31,0.0,-0.25,0.0,0.25,-0.25,-0.08333333333333333,0.0,0.08333333333333333,-0.25,0.0,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,0.0,0.25
2023-01-31,0.0,-0.25,0.0,0.25,-0.25,-0.08333333333333333,0.0,0.0,-0.25,0.0,0.0,0.16666666666666666,0.0,0.25,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.25
2023-02-28,0.0,-0.25,-0.08333333333333333,0.25,-0.25,0.0,0.0,0.08333333333333333,-0.25,0.0,0.0,0.08333333333333333,0.0,0.25,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.25
2023-03-31,0.0,-0.25,-0.16666666666666666,0.16666666666666666,-0.25,0.08333333333333333,0.0,0.08333333333333333,-0.25,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.25
2023-04-30,0.0,-0.25,-0.16666666666666666,0.08333333333333333,-0.25,0.16666666666666666,0.0,0.08333333333333333,-0.25,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.0,0.0,-0.08333333333333333,0.0,0.0,0.25
2023-05-31,0.08333333333333333,-0.16666666666666666,-0.16666666666666666,0.0,-0.25,0.25,0.0,0.0,-0.25,0.0,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.0,0.0,0.16666666666666666
2023-06-30,0.16666666666666666,-0.08333333333333333,-0.16666666666666666,0.0,-0.16666666666666666,0.25,0.0,-0.08333333333333333,-0.25,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.25,0.0,0.0,0.16666666666666666
2023-07-31,0.16666666666666666,-0.08333333333333333,-0.16666666666666666,0.0,-0.16666666666666666,0.25,0.0,-0.08333333333333333,-0.16666666666666666,-0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,-0.25,0.0,0.0,0.08333333333333333
2023-08-31,0.08333333333333333,-0.08333333333333333,-0.16666666666666666,0.0,-0.16666666666666666,0.25,0.0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.25,-0.25,0.0,0.0,0.08333333333333333
2023-09-30,0.0,-0.08333333333333333,-0.16666666666666666,0.0,-0.25,0.25,0.0,0.0,0.08333333333333333,-0.16666666666666666,0.16666666666666666,-0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.25,-0.25,0.0,0.0,0.0
2023-10-31,0.0,0.08333333333333333,-0.25,-0.08333333333333333,-0.25,0.25,0.0,0.0,0.08333333333333333,-0.08333333333333333,0.08333333333333333,-0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.25,-0.25,0.0,0.0,0.0
2023-11-30,0.0,0.16666666666666666,-0.25,-0.08333333333333333,-0.16666666666666666,0.25,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.08333333333333333,0.25,-0.25,0.0,0.0,0.0
2023-12-31,0.0,0.25,-0.25,-0.16666666666666666,-0.08333333333333333,0.25,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.0,-0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,-0.25,0.0,0.0,0.0
2024-01-31,0.0,0.25,-0.25,-0.16666666666666666,-0.08333333333333333,0.25,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.0,-0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,-0.25,0.0,0.0,0.0
2024-02-29,0.0,0.25,-0.16666666666666666,-0.25,-0.08333333333333333,0.25,0.0,0.0,0.16666666666666666,-0.08333333333333333,0.0,-0.08333333333333333,0.0,0.0,0.25,0.08333333333333333,-0.25,0.0,0.0,-0.08333333333333333
2024-03-31,0.0,0.25,-0.08333333333333333,-0.25,-0.08333333333333333,0.25,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,-0.16666666666666666,-0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,-0.25,0.0,0.0,-0.08333333333333333
2024-04-30,0.0,0.25,0.0,-0.25,0.0,0.25,0.0,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.16666666666666666,-0.16666666666666666,-0.08333333333333333,0.0,0.08333333333333333,0.0,-0.25,0.0,0.0,-0.16666666666666666
2024-05-31,0.0,0.16666666666666666,0.08333333333333333,-0.16666666666666666,0.0,0.25,0.0,0.25,0.0,-0.16666666666666666,0.25,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,-0.25,0.0,0.0,-0.08333333333333333
2024-06-30,0.0,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.0,0.25,0.0,0.25,-0.08333333333333333,-0.25,0.25,-0.08333333333333333,-0.16666666666666666,0.0,0.0,0.0,-0.25,0.0,0.0,-0.08333333333333333
2024-07-31,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25,0.0,0.25,-0.16666666666666666,-0.25,0.25,-0.08333333333333333,-0.25,0.0,0.0,0.0,-0.25,0.0,0.0,0.0
2024-08-31,0.0,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.0,0.25,0.0,0.16666666666666666,-0.25,-0.25,0.25,0.0,-0.16666666666666666,0.0,0.0,0.0,-0.25,0.0,0.08333333333333333,0.0
2024-09-30,0.0,0.08333333333333333,0.16666666666666666,-0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,-0.25,-0.25,0.16666666666666666,0.0,-0.08333333333333333,0.0,0.0,0.08333333333333333,-0.25,0.0,0.08333333333333333,0.0
2024-10-31,0.0,0.08333333333333333,0.16666666666666666,-0.25,0.0,0.25,0.0,0.08333333333333333,-0.25,-0.16666666666666666,0.16666666666666666,0.0,0.0,-0.08333333333333333,0.0,0.08333333333333333,-0.25,0.0,0.16666666666666666,0.0
2024-11-30,0.0,0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,-0.25,-0.16666666666666666,0.08333333333333333,0.0,-0.08333333333333333,-0.08333333333333333,0.0,0.16666666666666666,-0.25,0.0,0.16666666666666666,0.0
2024-12-31,0.0,0.08333333333333333,0.08333333333333333,-0.16666666666666666,0.0,0.25,0.0,0.08333333333333333,-0.25,-0.16666666666666666,0.08333333333333333,0.0,-0.08333333333333333,-0.16666666666666666,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.25,0.0
